ID,Date,Country,Disease,Update,Month,Year,Cases,Deaths
165,12/09/2000,Afghanistan,Cholera,No,9,2000,604,0
162,21/09/2000,France,Leptospirosis,No,9,2000,4,0
147,20/10/2000,Uganda,Ebola,Yes,10,2000,122,0
102,29/12/2000,South Africa,Cholera,Yes,12,2000,183,0
134,29/10/2000,Uganda,Ebola,Yes,10,2000,211,72
178,20/06/2000,Ethiopia,Anthrax,No,6,2000,0,0
161,21/09/2000,Canada,Leptospirosis,No,9,2000,6,0
159,26/09/2000,Yemen,Acute haemorrhagic fever syndrome,No,9,2000,113,30
219,01/01/1999,Hungary,Meningococcal disease,No,1,1999,30,0
136,27/10/2000,South Africa,Cholera,Yes,10,2000,806,0
160,22/09/2000,Israel,West Nile,No,9,2000,151,0
181,30/05/2000,Canada,Enterohaemorrhagic escherischia coli infection,No,5,2000,27,5
153,16/10/2000,Uganda,Ebola,No,10,2000,71,35
117,14/11/2000,Uganda,Ebola,Yes,11,2000,320,104
106,19/12/2000,South Africa,Cholera,Yes,12,2000,8137,0
123,08/11/2000,Uganda,,Yes,11,2000,286,94
205,29/02/2000,France,,No,2,2000,50,6
132,31/10/2000,Uganda,Ebola,Yes,10,2000,239,75
175,11/07/2000,Afghanistan,Acute haemorrhagic fever syndrome,Yes,7,2000,27,16
107,08/12/2000,Uganda,Ebola,Yes,12,2000,405,2
111,27/11/2000,South Africa,Cholera,Yes,11,2000,876,0
171,17/08/2000,Ethiopia,Meningococcal disease,No,8,2000,855,0
135,28/10/2000,Uganda,Ebola,Yes,10,2000,205,71
154,13/10/2000,South Africa,Cholera,No,10,2000,175,0
150,18/10/2000,South Africa,Cholera,Yes,10,2000,75,0
133,30/10/2000,Uganda,Ebola,Yes,10,2000,224,73
198,17/03/2000,Ethiopia,Meningococcal disease,No,3,2000,81,0
173,26/07/2000,Netherlands,Lassa fever,Yes,7,2000,4,0
197,21/03/2000,Congo,,Yes,3,2000,18,0
105,19/12/2000,Uganda,Ebola,Yes,12,2000,421,162
204,02/03/2000,Panama,Hantavirus pulmonary syndrome,No,3,2000,3,0
125,06/11/2000,Uganda,Ebola,Yes,11,2000,281,91
214,20/01/2000,Brazil,Yellow fever,Yes,1,2000,3,0
129,03/11/2000,Uganda,Ebola,Yes,11,2000,266,83
212,24/01/2000,Sierra Leone,,No,1,2000,3094,0
213,24/01/2000,Brazil,Yellow fever,Yes,1,2000,61,0
166,11/09/2000,Liberia,Yellow fever,Yes,9,2000,102,0
206,25/02/2000,Netherlands,Yellow fever,No,2,2000,0,0
172,09/08/2000,Ireland,Measles,No,8,2000,376,2
149,19/10/2000,Uganda,Ebola,Yes,10,2000,111,41
108,06/12/2000,South Africa,Cholera,Yes,12,2000,6548,0
199,16/03/2000,Madagascar,Cholera,Yes,3,2000,173,0
118,12/11/2000,Uganda,Ebola,Yes,11,2000,320,102
216,18/01/2000,China,Polio,No,1,2000,20,0
203,02/03/2000,Congo,Viral haemorrhagic fever,Yes,3,2000,7,6
174,25/07/2000,Netherlands,Lassa fever,No,7,2000,0,0
104,29/12/2000,Guinea,Yellow fever,No,12,2000,512,190
163,18/09/2000,Saudi Arabia,Rift Valley fever,No,9,2000,38,16
184,04/05/2000,Australia,,No,5,2000,60,2
182,19/05/2000,Nigeria,Yellow fever,No,5,2000,2,0
215,18/01/2000,Germany,Lassa fever,Yes,1,2000,0,0
193,10/04/2000,Ethiopia,Meningococcal disease,Yes,4,2000,269,9
127,03/11/2000,South Africa,Cholera,Yes,11,2000,270,33
121,10/11/2000,South Africa,Cholera,Yes,11,2000,583,33
186,02/05/2000,Somalia,Cholera,No,5,2000,232,0
164,15/09/2000,United States,,No,9,2000,155,0
207,16/02/2000,Central African Republic,Meningitis,No,2,2000,86,5
152,17/10/2000,Uganda,Ebola,Yes,10,2000,81,35
115,17/11/2000,Uganda,Ebola,Yes,11,2000,329,107
158,29/09/2000,Saudi Arabia,Rift Valley fever,Yes,9,2000,160,33
119,11/11/2000,Uganda,Ebola,Yes,11,2000,313,101
141,25/10/2000,Saudi Arabia,Rift Valley fever,Yes,10,2000,443,0
195,04/04/2000,Germany,Lassa fever,No,4,2000,0,0
110,30/11/2000,Uganda,Ebola,Yes,11,2000,354,0
185,03/05/2000,Indonesia,Meningococcal disease,No,5,2000,27,6
103,29/12/2000,Uganda,Ebola,Yes,12,2000,426,165
120,10/11/2000,Uganda,Ebola,Yes,11,2000,301,99
179,20/06/2000,Russian Federation,,No,6,2000,0,0
139,26/10/2000,Yemen,Rift Valley fever,Yes,10,2000,653,80
208,11/02/2000,Congo,Viral haemorrhagic fever,Yes,2,2000,15,0
177,06/07/2000,Micronesia,Cholera,No,7,2000,954,0
124,07/11/2000,Uganda,Ebola,Yes,11,2000,284,91
170,24/08/2000,Liberia,Yellow fever,No,8,2000,29,3
189,26/04/2000,United States,Meningococcal disease,No,4,2000,3,0
145,21/10/2000,Uganda,Ebola,Yes,10,2000,139,0
157,03/10/2000,Yemen,Rift Valley fever,Yes,10,2000,321,32
218,13/01/2000,Germany,Lassa fever,No,1,2000,0,0
146,20/10/2000,South Africa,Cholera,Yes,10,2000,279,0
183,11/05/2000,Australia,,Yes,5,2000,76,2
137,27/10/2000,Uganda,Ebola,Yes,10,2000,191,68
217,14/01/2000,Brazil,Yellow fever,No,1,2000,3,0
167,08/09/2000,Micronesia,Cholera,Yes,9,2000,689,0
196,31/03/2000,Congo,Viral haemorrhagic fever,Yes,3,2000,16,0
155,09/10/2000,Saudi Arabia,Rift Valley fever,Yes,10,2000,291,64
