Country,Disease,Year,cfr,Cases,Death
Mauritius,COVID-19,2020,4.7619047619999995,42,2
Mexico,COVID-19,2020,1.089918256,367,4
Mexico,Cholera,2013,0.568181818,184,1
Mexico,Encephalitis,1996,5.0,2,10
Mexico,Influenza,2009,0.069086651,854,59
Moldova,COVID-19,2020,0.8,125,1
Mongolia,Cholera,1996,4.716981132,106,5
Montenegro,COVID-19,2020,2.127659574,47,1
Morocco,COVID-19,2020,2.9411764710000003,170,5
Mozambique,Cholera,1997,0.18028846199999998,1664,3
Mozambique,Cholera,2018,0.055586437,1799,1
Namibia,Hepatitis,2018,0.016877637,237,4
Namibia,Plague,1999,0.205128205,39,8
Namibia,Polio,2006,0.666666667,30,20
Nepal,Encephalitis,1997,90.28340081,247,223
Netherlands,Avian,2003,0.012048193,83,1
Netherlands,COVID-19,2020,4.964028777,5560,276
Netherlands,Lassa fever,2019,7.692307692000001,182,14
Netherlands,Legionellosis,1999,0.065,200,13
Netherlands,Meningococcal disease,2000,0.253333333,225,57
Niger,Cholera,2018,1.841820152,3692,68
Niger,Hepatitis,2017,0.0053191490000000004,188,1
Niger,Meningococcal disease,2003,9.484435798,2056,195
Niger,Meningococcal disease,2015,10.0,200000,20000
Niger,Rift Valley fever,2016,12.03007519,266,32
Nigeria,Avian,2006,inf,0,450000
Nigeria,COVID-19,2020,2.272727273,44,1
Nigeria,Cholera,1996,92.76190476,525,487
Nigeria,Cholera,1999,2.208588957,815,18
Nigeria,Hepatitis,2017,0.068965517,29,2
Nigeria,Lassa fever,2012,11.23595506,623,70
Nigeria,Lassa fever,2016,54.57875458,273,149
Nigeria,Lassa fever,2017,56.73076923,104,59
Nigeria,Lassa fever,2018,8.016877637,1422,114
Nigeria,Lassa fever,2019,22.01834862,327,72
Nigeria,Meningococcal disease,2015,7.668711656,652,50
Nigeria,Monkeypox,2017,1.6393442619999998,61,1
Nigeria,Monkeypox,2018,8.860759494,79,7
Nigeria,Yellow fever,2019,21.31147541,407708,26
North Macedonia,COVID-19,2020,1.351351351,148,2
Norway,COVID-19,2020,0.41914076100000003,2863,12
Norway,Legionellosis,2001,0.10526315800000001,19,2
Oman,MERS-CoV,2015,37.57575758,1155,434
Oman,MERS-CoV,2016,36.03936039,1842,652
Oman,MERS-CoV,2018,34.98134328,2144,750
Oman,MERS-CoV,2019,34.78998727,2357,820
Others,COVID-19,2020,1.123595506,712,8
Pakistan,Avian,2007,12.5,8,1
Pakistan,Avian,2008,14.28571429,7,1
Pakistan,COVID-19,2020,0.720164609,972,7
Pakistan,Dengue,2019,6.525891341,47120,3075
Panama,COVID-19,2020,1.739130435,345,6
Paraguay,COVID-19,2020,7.407407407000001,27,2
Paraguay,Yellow fever,2008,27.27272727,22,6
Peru,COVID-19,2020,1.682692308,416,7
Peru,Yellow fever,2001,0.166666667,12,2
Philippines,COVID-19,2020,6.34057971,552,35
Philippines,Ebola,1996,inf,0,2
Philippines,MERS-CoV,2015,35.5994152,1368,487
Philippines,Meningococcal disease,2005,32.65306122,98,32
Philippines,SARS,2003,14.28571429,14,2
Poland,COVID-19,2020,1.109877913,901,10
Portugal,COVID-19,2020,1.3971210840000001,2362,33
Qatar,MERS-CoV,2014,36.04519774,885,319
Qatar,MERS-CoV,2015,37.16981132,1150,427
Qatar,MERS-CoV,2016,36.09022556,1769,630
Romania,COVID-19,2020,1.3853904280000002,794,11
Russia,COVID-19,2020,0.20202020199999998,495,1
San Marino,COVID-19,2020,11.22994652,187,21
Saudi Arabia,COVID-19,2020,0.130378096,767,1
Saudi Arabia,MERS-CoV,2014,36.02714374,941,347
Saudi Arabia,MERS-CoV,2015,36.02714374,1621,584
Saudi Arabia,MERS-CoV,2016,36.23773803,1806,643
Saudi Arabia,MERS-CoV,2017,34.72823473,2079,722
Saudi Arabia,MERS-CoV,2018,66.0,2262,806
Saudi Arabia,MERS-CoV,2019,66.0,2484,857
Saudi Arabia,Rift Valley fever,2000,17.15575621,443,76
Senegal,Cholera,2005,0.460431655,3475,16
Senegal,Yellow fever,2005,inf,0,2
Senegal,Yellow fever,2011,100.0,10,10
Serbia,COVID-19,2020,0.99009901,303,3
Sierra Leone,Cholera,2012,38.04347826,18508,280
Sierra Leone,Lassa fever,1996,5.691056911,246,14
Sierra Leone,Lassa fever,1997,2.8785982480000003,799,23
Sierra Leone,Yellow fever,2003,11.11111111,90,10
Singapore,COVID-19,2020,0.358422939,558,2
Singapore,SARS,2003,15.53398058,206,32
Slovakia,COVID-19,2020,0.490196078,204,1
Slovenia,COVID-19,2020,0.833333333,480,4
Somalia,Cholera,1997,inf,1535,247
Somalia,Cholera,1999,1.556016598,964,15
Somalia,Cholera,2000,5.147058824,272,14
Somalia,Cholera,2018,71.85368878,1613,1159
South Africa,Cholera,2000,0.405554873,8137,33
South Africa,Cholera,2001,0.405554873,983,0
South Africa,Cholera,2003,0.127011008,2362,3
South Africa,Ebola,1996,0.571428571,350,2
South Africa,Rift Valley fever,1999,33.33333333,3,1
South Africa,Rift Valley fever,2010,9.677419355,20000,18
South Africa,SARS,2003,100.0,1,1
South Korea,COVID-19,2020,1.327874295,9037,120
Spain,COVID-19,2020,7.040240692,39885,2808
Spain,Legionellosis,2001,0.266311585,751,2
Spain,Listeriosis,2019,0.078947368,38,3
Sri Lanka,Cholera,1998,0.083526682,431,36
Sri Lanka,Dengue,2017,0.266313234,80732,215
Sudan,COVID-19,2020,33.33333333,3,1
Sudan,Cholera,2006,3.820645905,13872,530
Sudan,Cholera,2014,3.754266212,586,22
Sudan,Cholera,2019,2.877697842,278,8
Sudan,Dengue,2019,0.417710944,1197,5
Sudan,Ebola,2004,23.33333333,30,7
Sudan,Haemorrhagic fever syndrome,2016,0.255863539,469,120
Sudan,Hepatitis,2004,0.11660107900000001,6861,8
Sudan,Meningococcal disease,1999,0.1,1000000,1000
Sudan,Meningococcal disease,2000,35.88342441,549,197
Sudan,Rift Valley fever,2007,36.9266055,601,211
Sudan,Rift Valley fever,2008,31.80515759,698,222
Sudan,Rift Valley fever,2019,30.78982597,747,230
Sudan,Yellow fever,2005,25.30973451,565,143
Sudan,Yellow fever,2012,22.54098361,732,165
Sweden,COVID-19,2020,1.57480315,2286,36
Switzerland,COVID-19,2020,1.235192872,9877,122
Taiwan,COVID-19,2020,0.9302325579999999,215,2
Taiwan,SARS,2003,8.940518185,8221,735
"Taiwan, China",SARS,2003,12.03438395,698,84
Tajikistan,Polio,2010,4.418604651,90000,19
Tanzania,Cholera,1996,6.0,100,6
Tanzania,Cholera,2015,1.4064115819999998,40000,150
Tanzania,Rift Valley fever,2007,0.233333333,60,14
Thailand,Avian,2004,70.58823529,22,12
Thailand,Avian,2005,61.9047619,21,13
Thailand,Avian,2006,68.0,25,17
Thailand,COVID-19,2020,0.48367593700000006,827,4
Thailand,Diphtheria,1996,0.055555556,72,4
Thailand,MERS-CoV,2015,35.74561404,1368,489
Thailand,MERS-CoV,2016,35.94611145,1633,587
Thailand,SARS,2003,22.22222222,9,2
Togo,Meningococcal disease,2017,0.377952756,127,48
Tunisia,COVID-19,2020,3.50877193,114,4
Tunisia,Measles,2019,0.003649635,274,1
Turkey,Avian,2006,2.777777778,144,4
Turkey,COVID-19,2020,2.35042735,1872,44
Turkey,MERS-CoV,2014,0.36126840299999996,883,319
