Disease,Country,Year,cfr,Cases,Death
COVID-19,Chile,2020,0.21691974,922,2
COVID-19,China,2020,4.66069822,67801,3160
COVID-19,Colombia,2020,0.793650794,378,3
COVID-19,Congo (Kinshasa),2020,4.444444444,45,2
COVID-19,Costa Rica,2020,1.129943503,177,2
COVID-19,Croatia,2020,0.261780105,382,1
COVID-19,Cuba,2020,2.083333333,48,1
COVID-19,Cyprus,2020,2.419354839,124,3
COVID-19,Czech Republic,2020,0.215208034,1394,3
COVID-19,Denmark,2020,2.011313639,1591,32
COVID-19,Dominican Republic,2020,1.9230769230000002,312,6
COVID-19,Ecuador,2020,2.495378928,1082,27
COVID-19,Egypt,2020,4.975124378,402,20
COVID-19,Finland,2020,0.126262626,792,1
COVID-19,France,2020,4.931850788999999,22304,1100
COVID-19,Gabon,2020,16.66666667,6,1
COVID-19,Gambia,2020,33.33333333,3,1
COVID-19,Germany,2020,0.475959498,32986,157
COVID-19,Ghana,2020,3.7735849060000004,53,2
COVID-19,Greece,2020,2.69179004,743,20
COVID-19,Guatemala,2020,4.7619047619999995,21,1
COVID-19,Guyana,2020,5.0,20,1
COVID-19,Hong Kong,2020,1.03626943,386,4
COVID-19,Hungary,2020,4.812834225,187,9
COVID-19,Iceland,2020,0.771604938,648,5
COVID-19,India,2020,1.865671642,536,10
COVID-19,Indonesia,2020,8.017492711000001,686,55
COVID-19,Iran,2020,7.794929667999999,24811,1934
COVID-19,Iraq,2020,8.544303797000001,316,27
COVID-19,Ireland,2020,0.5267118129999999,1329,7
COVID-19,Israel,2020,0.155440415,1930,3
COVID-19,Italy,2020,9.858910605,69176,6820
COVID-19,Jamaica,2020,4.7619047619999995,21,1
COVID-19,Japan,2020,3.6043587589999997,1193,43
